Timestamp,EAR,MAR,Alert
2025-09-14 19:27:28.193661,0.252,1.274,Yawning
2025-09-14 19:27:28.721609,0.269,1.344,Yawning
2025-09-14 19:27:29.254304,0.285,1.244,Yawning
2025-09-14 19:27:29.800384,0.267,1.336,Yawning
2025-09-14 19:27:30.333999,0.278,1.270,Yawning
2025-09-14 19:27:30.866480,0.253,1.295,Yawning
2025-09-14 19:27:31.383191,0.263,1.315,Yawning
2025-09-14 19:27:31.911192,0.319,1.224,Yawning
2025-09-14 19:27:32.443859,0.315,1.155,Yawning
2025-09-14 19:27:32.973618,0.168,1.294,Yawning
2025-09-14 19:27:33.506965,0.240,1.300,Yawning
2025-09-14 19:27:34.023952,0.237,1.118,Yawning
2025-09-14 19:27:34.560792,0.202,1.144,Yawning
2025-09-14 19:27:35.092700,0.157,1.096,Yawning
2025-09-14 19:27:35.624869,0.157,1.089,Yawning
2025-09-14 19:27:36.162954,0.038,1.055,Yawning
2025-09-14 19:27:36.683637,0.137,1.069,Yawning
2025-09-14 19:27:37.210388,0.173,1.142,Yawning
2025-09-14 19:27:37.744667,0.278,1.198,Yawning
2025-09-14 19:27:38.267662,0.315,1.162,Yawning
2025-09-14 19:27:38.801011,0.122,1.131,Yawning
2025-09-14 19:27:39.335067,0.256,1.215,Yawning
2025-09-14 19:27:39.866331,0.257,1.237,Yawning
2025-09-14 19:27:40.386289,0.275,1.343,Yawning
2025-09-14 19:27:40.918897,0.060,1.289,Yawning
2025-09-14 19:27:41.457992,0.053,1.192,Yawning
2025-09-14 19:27:41.992430,0.060,1.237,Yawning
2025-09-14 19:27:42.512121,0.047,1.299,Yawning
2025-09-14 19:27:43.033658,0.041,1.224,Yawning
2025-09-14 19:27:43.556647,0.039,1.189,Yawning
2025-09-14 19:27:44.076080,0.047,1.288,Yawning
2025-09-14 19:27:44.609446,0.058,1.251,Yawning
2025-09-14 19:27:45.131878,0.060,1.325,Yawning
2025-09-14 19:27:45.648769,0.065,1.194,Yawning
2025-09-14 19:27:46.178089,0.153,1.238,Yawning
2025-09-14 19:27:46.710877,0.158,1.146,Yawning
2025-09-14 19:27:47.243076,0.180,1.249,Yawning
2025-09-14 19:27:47.763553,0.178,1.341,Yawning
2025-09-14 19:27:48.296095,0.168,1.343,Drowsiness
2025-09-14 19:27:48.809593,0.168,1.343,Yawning
2025-09-14 19:27:49.344402,0.200,1.025,Drowsiness
2025-09-14 19:27:49.846830,0.200,1.025,Yawning
2025-09-14 19:27:50.377528,0.236,1.267,Drowsiness
2025-09-14 19:27:50.891612,0.236,1.267,Yawning
2025-09-14 19:27:51.428060,0.178,1.268,Drowsiness
2025-09-14 19:27:51.933675,0.178,1.268,Yawning
2025-09-14 19:27:52.452926,0.107,1.409,Drowsiness
2025-09-14 19:27:52.956595,0.107,1.409,Yawning
2025-09-14 19:27:53.491689,0.058,1.214,Drowsiness
2025-09-14 19:27:54.008008,0.058,1.214,Yawning
2025-09-14 19:27:54.538221,0.092,1.288,Drowsiness
2025-09-14 19:27:55.052210,0.092,1.288,Yawning
2025-09-14 19:27:55.571778,0.073,1.390,Drowsiness
2025-09-14 19:27:56.073721,0.073,1.390,Yawning
2025-09-14 19:27:56.592276,0.051,1.244,Drowsiness
2025-09-14 19:27:57.095454,0.051,1.244,Yawning
2025-09-14 19:27:57.626401,0.042,1.309,Drowsiness
2025-09-14 19:27:58.143481,0.042,1.309,Yawning
2025-09-14 19:27:58.673708,0.123,1.314,Drowsiness
2025-09-14 19:27:59.176482,0.123,1.314,Yawning
2025-09-14 19:27:59.695771,0.123,1.269,Drowsiness
2025-09-14 19:28:00.209431,0.123,1.269,Yawning
2025-09-14 19:28:00.743041,0.210,1.283,Drowsiness
2025-09-14 19:28:01.258429,0.210,1.283,Yawning
2025-09-14 19:28:01.787966,0.294,1.380,Yawning
2025-09-14 19:28:02.321268,0.254,1.381,Yawning
2025-09-14 19:28:02.856575,0.256,1.194,Yawning
2025-09-14 19:28:03.391163,0.266,1.223,Yawning
2025-09-14 19:28:03.913288,0.161,1.212,Yawning
2025-09-14 19:28:04.445188,0.230,1.334,Yawning
2025-09-14 19:28:04.977941,0.252,1.344,Yawning
2025-09-14 19:28:05.510745,0.265,1.101,Yawning
2025-09-14 19:28:06.049378,0.269,1.185,Yawning
2025-09-14 19:28:06.579814,0.266,1.229,Yawning
2025-09-14 19:28:07.099771,0.250,1.307,Yawning
2025-09-14 19:28:07.632284,0.272,1.125,Yawning
2025-09-14 19:28:08.166917,0.207,1.124,Yawning
2025-09-14 19:28:08.699924,0.214,1.199,Yawning
2025-09-14 19:28:09.233218,0.292,1.309,Yawning
2025-09-14 19:28:09.767505,0.083,1.264,Yawning
2025-09-14 19:28:10.318259,0.255,1.226,Yawning
2025-09-14 19:28:10.850736,0.291,1.239,Yawning
2025-09-14 19:28:11.381736,0.298,1.288,Yawning
2025-09-14 19:28:11.914512,0.311,1.174,Yawning
2025-09-14 19:28:12.448381,0.301,1.290,Yawning
2025-09-14 19:28:12.968226,0.264,1.291,Yawning
2025-09-14 19:28:13.500665,0.275,1.211,Yawning
2025-09-14 19:28:14.034445,0.100,1.314,Yawning
2025-09-14 19:28:14.551884,0.224,1.247,Yawning
2025-09-14 19:28:15.082514,0.194,1.162,Yawning
2025-09-14 19:28:15.603289,0.211,1.212,Yawning
2025-09-14 19:28:16.140061,0.064,1.172,Yawning
2025-09-14 19:28:16.657735,0.168,1.108,Yawning
2025-09-14 19:28:17.203259,0.148,1.198,Yawning
2025-09-14 19:28:17.720718,0.189,1.198,Yawning
2025-09-14 19:28:18.253199,0.266,1.115,Yawning
2025-09-14 19:28:18.786897,0.265,0.975,Yawning
2025-09-14 19:28:19.319737,0.179,1.199,Yawning
2025-09-14 19:28:19.855068,0.076,1.251,Yawning
2025-09-14 19:28:20.389289,0.224,1.344,Yawning
2025-09-14 19:28:20.933715,0.266,1.264,Yawning
2025-09-14 19:28:21.454744,0.299,1.172,Yawning
2025-09-14 19:28:21.991124,0.296,1.201,Yawning
2025-09-14 19:28:22.524495,0.296,1.263,Yawning
2025-09-14 19:28:23.057390,0.177,1.207,Yawning
2025-09-14 19:28:23.594074,0.049,1.291,Yawning
2025-09-14 19:28:24.113254,0.033,1.263,Yawning
2025-09-14 19:28:24.629072,0.033,1.304,Yawning
2025-09-14 19:28:25.160570,0.025,1.291,Yawning
2025-09-14 19:28:25.679870,0.038,1.175,Yawning
2025-09-14 19:28:26.209106,0.079,1.199,Yawning
2025-09-14 19:28:26.741260,0.026,1.175,Yawning
2025-09-14 19:28:27.277425,0.042,1.176,Yawning
2025-09-14 19:28:27.810556,0.032,1.200,Yawning
2025-09-14 19:28:28.340168,0.057,1.314,Yawning
2025-09-14 19:28:28.863818,0.044,1.225,Yawning
2025-09-14 19:28:29.399334,0.063,1.288,Yawning
2025-09-14 19:28:29.930582,0.050,1.239,Yawning
2025-09-14 19:28:30.463807,0.050,1.211,Drowsiness
2025-09-14 19:28:30.979381,0.050,1.211,Yawning
2025-09-14 19:28:31.516448,0.040,1.238,Drowsiness
2025-09-14 19:28:32.020306,0.040,1.238,Yawning
2025-09-14 19:28:32.556050,0.050,1.237,Drowsiness
2025-09-14 19:28:33.062041,0.050,1.237,Yawning
2025-09-14 19:28:33.582357,0.135,1.143,Drowsiness
2025-09-14 19:28:34.098731,0.135,1.143,Yawning
2025-09-14 19:28:34.637040,0.183,1.236,Drowsiness
2025-09-14 19:28:35.148356,0.183,1.236,Yawning
2025-09-14 19:28:35.680335,0.203,1.150,Drowsiness
2025-09-14 19:28:36.196637,0.203,1.150,Yawning
2025-09-14 19:28:36.725137,0.155,1.262,Drowsiness
2025-09-14 19:28:37.230205,0.155,1.262,Yawning
2025-09-14 19:28:37.752266,0.165,1.091,Drowsiness
2025-09-14 19:28:38.255013,0.165,1.091,Yawning
2025-09-14 19:28:38.786732,0.159,1.264,Drowsiness
2025-09-14 19:28:39.302085,0.159,1.264,Yawning
2025-09-14 19:28:39.835845,0.164,1.263,Drowsiness
2025-09-14 19:28:40.352287,0.164,1.263,Yawning
2025-09-14 19:28:40.888793,0.203,1.264,Drowsiness
2025-09-14 19:28:41.396017,0.203,1.264,Yawning
2025-09-14 19:28:41.928276,0.228,1.263,Drowsiness
2025-09-14 19:28:42.434258,0.228,1.263,Yawning
2025-09-14 19:28:42.953564,0.227,1.201,Drowsiness
2025-09-14 19:28:43.462619,0.227,1.201,Yawning
2025-09-14 19:28:43.981586,0.241,1.176,Drowsiness
2025-09-14 19:28:44.486502,0.241,1.176,Yawning
2025-09-14 19:28:45.004277,0.253,1.175,Drowsiness
2025-09-14 19:28:45.507917,0.253,1.175,Yawning
2025-09-14 19:28:46.036765,0.226,1.238,Drowsiness
2025-09-14 19:28:46.550539,0.226,1.238,Yawning
2025-09-14 19:28:47.071689,0.242,1.227,Drowsiness
2025-09-14 19:28:47.576104,0.242,1.227,Yawning
2025-09-14 19:28:48.108240,0.154,1.264,Drowsiness
2025-09-14 19:28:48.623868,0.154,1.264,Yawning
2025-09-14 19:28:49.159053,0.277,1.119,Yawning
2025-09-14 19:28:49.690656,0.273,1.169,Yawning
2025-09-14 19:28:50.224782,0.265,1.264,Yawning
2025-09-14 19:28:50.745056,0.244,1.225,Yawning
2025-09-14 19:28:51.262282,0.230,1.200,Yawning
2025-09-14 19:28:51.784392,0.195,1.235,Yawning
2025-09-14 19:28:52.304284,0.247,1.226,Yawning
2025-09-14 19:28:52.850484,0.268,1.167,Yawning
2025-09-14 19:28:53.394244,0.277,1.267,Yawning
2025-09-14 19:28:53.926617,0.265,1.264,Yawning
2025-09-14 19:28:54.461057,0.238,1.227,Yawning
2025-09-14 19:28:54.979696,0.137,1.390,Yawning
2025-09-14 19:28:55.500592,0.278,1.264,Yawning
2025-09-14 19:28:56.018384,0.179,1.096,Yawning
